From,To,Target
UNC,STEADY,1653
LARGE,STEADY,7118
SMALL,STEADY,4416
LT,STEADY,431.1
NH,STEADY,34522.6
COMMUNITY,COMMUNITY,0.0
COMMUNITY,UNC,111053.33761181071
COMMUNITY,LARGE,463477.65397474606
COMMUNITY,SMALL,298785.2329226011
COMMUNITY,LT,0.0
COMMUNITY,NH,100000.0
UNC,COMMUNITY,102317.87502814479
UNC,UNC,3839.8144064878925
UNC,LARGE,341.3168361322571
UNC,SMALL,85.32920903306427
UNC,LT,330.4940635032496
UNC,NH,13108.99255181296
LARGE,COMMUNITY,439055.61995010497
LARGE,UNC,305.24981942739475
LARGE,LARGE,11965.792921553875
LARGE,SMALL,2991.448230388469
LARGE,LT,1530.878770839108
LARGE,NH,50643.48621945907
SMALL,COMMUNITY,262468.80136341613
SMALL,UNC,296.4617132927502
SMALL,LARGE,13073.961556210283
SMALL,SMALL,1452.662395134476
SMALL,LT,566.4587605611839
SMALL,NH,39870.25821363527
LT,COMMUNITY,1141.0808496046643
LT,UNC,23.46507850873072
LT,LARGE,108.69239272957667
LT,SMALL,40.21857199984405
LT,LT,0.0
LT,NH,1090.0963861116902
NH,COMMUNITY,117105.97632989142
NH,UNC,7240.241046003742
NH,LARGE,30646.58231862792
NH,SMALL,19013.10867084306
NH,LT,0.0
NH,NH,0.0
UNC,Death,2734.7475804169994
LARGE,Death,13121.524088227141
SMALL,Death,6070.355212226189
LT,Death,24.278315949035413
NH,Death,30706.925005652847
